user_id,isbn,rating
11676,0002005018,6.871014595031738
116866,0002005018,7.955080509185791
152827,0060973129,7.480404853820801
157969,0374157065,6.973865509033203
67958,0399135782,8.546655654907227
213191,0399135782,5.635509014129639
245827,0399135782,5.756832599639893
11676,0671870432,6.301583290100098
263256,1558746218,7.4026899337768555
226745,1881320189,7.350255012512207
7352,0440234743,5.130634307861328
12923,0440234743,6.886462211608887
13552,0440234743,7.5749921798706055
21264,0440234743,5.5288896560668945
31299,0440234743,6.687987327575684
64535,0440234743,6.414187431335449
70666,0440234743,5.395064353942871
75819,0440234743,6.952310562133789
79740,0440234743,4.281892776489258
85534,0440234743,7.7610578536987305
100393,0440234743,4.228001594543457
108143,0440234743,7.447318077087402
116127,0440234743,6.445106506347656
122251,0440234743,5.472017288208008
128463,0440234743,6.886462211608887
131703,0440234743,6.886462211608887
132144,0440234743,6.886462211608887
134863,0440234743,6.343708038330078
136707,0440234743,6.833010673522949
143939,0440234743,7.343544960021973
144062,0440234743,8.615269660949707
150400,0440234743,6.886462211608887
154730,0440234743,3.538675308227539
165884,0440234743,4.994091987609863
187533,0440234743,7.50229549407959
187944,0440234743,6.945428848266602
217516,0440234743,6.175022125244141
227392,0440234743,6.278818130493164
240567,0440234743,6.383872985839844
245616,0440234743,4.407644271850586
250101,0440234743,9.17547607421875
258884,0440234743,6.470142364501953
259223,0440234743,7.677365779876709
273979,0440234743,6.4818267822265625
6242,0452264464,4.747907638549805
8570,0452264464,6.345017433166504
11104,0452264464,6.759500026702881
11676,0452264464,6.5836591720581055
36197,0452264464,6.712149143218994
36907,0452264464,8.006488800048828
80837,0452264464,6.864767551422119
102359,0452264464,8.114419937133789
144803,0452264464,6.735069274902344
165319,0452264464,5.509962558746338
174633,0452264464,7.6670098304748535
221232,0452264464,7.563127040863037
252627,0452264464,8.16690444946289
271135,0452264464,5.791833400726318
271144,0452264464,4.608087062835693
11676,0609804618,7.30402135848999
79089,0609804618,6.736999988555908
271622,0609804618,7.5429182052612305
141518,1841721522,8.447284698486328
157118,1841721522,8.580437660217285
14,0689821166,6.874233722686768
4784,0971880107,3.5816354751586914
8453,0971880107,2.782205104827881
11554,0971880107,1.5266985893249512
12264,0971880107,2.525242328643799
13088,0971880107,2.99507999420166
13221,0971880107,3.3600196838378906
14049,0971880107,3.001016616821289
14461,0971880107,3.7066798210144043
20147,0971880107,3.466214656829834
21404,0971880107,2.66278076171875
24664,0971880107,2.904181957244873
28091,0971880107,2.6500191688537598
28735,0971880107,3.3285913467407227
32329,0971880107,2.8966870307922363
33535,0971880107,2.529618263244629
37538,0971880107,4.384291648864746
40841,0971880107,2.525242328643799
41596,0971880107,2.3667232990264893
45666,0971880107,2.454054355621338
46398,0971880107,2.160956859588623
49954,0971880107,2.525242328643799
51803,0971880107,1.7819972038269043
55894,0971880107,3.4157323837280273
59994,0971880107,3.9274282455444336
60633,0971880107,2.782205104827881
61028,0971880107,4.2220458984375
64819,0971880107,2.782205104827881
65145,0971880107,3.330181121826172
65370,0971880107,1.8334803581237793
67636,0971880107,2.758747100830078
67704,0971880107,2.754369020462036
